run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
2,0.5833333333333333,0.04999999999999999,True,1,0.5833333333333333,0.04999999999999999,2,0.4,0.95,0,1
3,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,2,0,1,0,1
4,0.5,-0.16666666666666666,True,1,0.5,-0.16666666666666666,2,0.5,0.5,0,1
5,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
6,0.4633333333333333,-0.13666666666666666,False,0,0.4633333333333333,-0.13666666666666666,3,0.5,0.9,0.4,0.5
7,0.5,-0.16666666666666666,True,1,-0.16666666666666666,0.5,1,0.5,0.5,0.5,0.5
8,0,0,False,0,0,0,8,0.3,0.85,0.4,0.4
9,0.5,-0.16666666666666666,True,1,-0.16666666666666666,0.5,1,0.5,0.5,0.5,0.5
10,0.7999999999999999,-0.1333333333333333,True,1,0.7999999999999999,-0.1333333333333333,4,0.7,1,0,1
11,0,0,False,1,0,0,5,0.8,0.8,0.4,0.4
12,0.5,-0.16666666666666666,False,1,0.5,-0.16666666666666666,10,0.4,0.9,0.5,0.5
