run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.4,0.13333333333333333,True,0,0.4,0.13333333333333333,1,0.2,0.8,0,1
2,0.8,-0.26666666666666666,False,0,0.8,-0.26666666666666666,5,0.9,1.0,0.8,0.8
3,0.5,-0.16666666666666666,False,0,0.5,-0.16666666666666666,5,0.5,0.5,0.5,0.5
4,0.48333333333333334,-0.11666666666666675,False,0,0.48333333333333334,-0.11666666666666675,5,0.25,0.75,0.4,0.6
5,0.7,-0.2333333333333333,False,0,0.7,-0.2333333333333333,5,0.7,0.95,0.7,0.7
6,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,2,0.5,1,0,1
7,0.4933333333333333,-0.17333333333333334,False,0,0.4933333333333333,-0.17333333333333334,5,0.5,0.6,0.6,0.4
8,0.6,-0.19999999999999998,False,0,0.6,-0.19999999999999998,5,0.85,0.95,0.6,0.6
9,0.6,-0.19999999999999998,False,0,0.6,-0.19999999999999998,5,0.5,0.85,0.6,0.6
10,0.7,-0.2333333333333333,False,0,0.7,-0.2333333333333333,5,0.4,0.6,0.7,0.7
11,0.5133333333333333,-0.1266666666666666,False,0,0.5133333333333333,-0.1266666666666666,5,0.4,0.9,0.4,0.6
12,0.5,-0.16666666666666666,True,0,0.5,-0.16666666666666666,1,0.5,0.5,0,1
