run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,0,0,0,10,0.2,0.85,0.4,0.5
2,0.49666666666666665,-0.11666666666666664,False,0,0.49666666666666665,-0.11666666666666664,9,0.3,0.85,0.4,0.6
3,0,0,False,0,0,0,10,0.15,0.9,0.4,0.7
4,0,0,False,1,0,0,1,0.1,0.9,0.3,0.8
5,0,0,False,0,0,0,10,0.4,0.9,0.4,0.4
6,0.3866666666666666,-0.03999999999999995,False,0,0.3866666666666666,-0.03999999999999995,7,0.3,0.8,0.2,0.6
7,0,0,False,0,0,0,4,0.2,0.8,0.15,0.3
8,0.31333333333333335,-0.06,False,1,0.31333333333333335,-0.06,10,0.4,0.9,0.2,0.4
9,0.23833333333333334,-0.04833333333333334,False,0,0.23833333333333334,-0.04833333333333334,7,0.15,0.85,0.2,0.3
10,0.5,-0.16666666666666666,False,1,0.5,-0.16666666666666666,10,0.1,0.9,0.5,0.5
11,0,0,False,0,0,0,2,0.3,0.9,0.2,0.8
12,0,0,False,0,0,0,10,0.2,0.8,0.3,0.4
