run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,0,0,0,6,0.3,0.9,0.3,0.8
2,0,0,False,0,0,0,10,0.15,0.9,0.1,0.9
3,0,0,False,1,0,0,1,0.5,1.0,0.2,0.9
4,0.3933333333333333,0.15333333333333332,False,1,0.3933333333333333,0.15333333333333332,2,0.1,0.9,0.1,0.9
5,0.355,-0.09833333333333336,False,1,0.355,-0.09833333333333336,10,0.4,0.85,0.3,0.4
6,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
7,0,0,False,0,0,0,10,0.3,0.9,0.3,0.4
8,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
9,0.4,0.13333333333333333,True,0,0.4,0.13333333333333333,1,0.2,0.8,0,1
10,0,0,False,0,0,0,4,0.2,0.85,0.3,0.3
11,0,0,False,1,0,0,5,0.4,0.85,0.2,0.4
12,0,0,False,1,0,0,3,0.1,0.7,0.2,0.9
