run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.18,-0.006666666666666668,False,0,0.18,-0.006666666666666668,5,0.2,0.8,0.1,0.3
2,0.2866666666666666,-0.060000000000000026,False,0,0.2866666666666666,-0.060000000000000026,5,0.4,0.6,0.1,0.5
3,0.18333333333333335,-0.003333333333333341,False,0,0.18333333333333335,-0.003333333333333341,5,0.2,0.85,0.1,0.3
4,0.4149999999999999,-0.09166666666666665,False,0,0.4149999999999999,-0.09166666666666665,5,0.6,0.95,0.2,0.5
5,0.5,-0.16666666666666666,False,0,0.5,-0.16666666666666666,5,0.2,0.95,0.5,0.5
6,0.5433333333333333,-0.15000000000000002,False,0,0.5433333333333333,-0.15000000000000002,5,0.6,0.95,0.4,0.6
7,0.5,-0.16666666666666666,False,0,0.5,-0.16666666666666666,5,0.4,0.6,0.5,0.5
8,0.32499999999999996,-0.14166666666666664,False,0,0.32499999999999996,-0.14166666666666664,5,0.6,0.9,0.5,0.25
9,0.6849999999999998,-0.22166666666666662,False,0,0.6849999999999998,-0.22166666666666662,5,0.8,0.95,0.6,0.7
10,0.37333333333333335,-0.10666666666666669,False,0,0.37333333333333335,-0.10666666666666669,5,0.8,1,0.2,0.4
11,0.5333333333333333,0.13333333333333333,True,0,0.5333333333333333,0.13333333333333333,2,0.3,1.0,0,1
12,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
