agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.45 \pm 0.39$,"$0.00, 0.99$",$0.47 \pm 0.40$,"$0.00, 0.99$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.70 \pm 0.34$,"$0.00, 0.99$",$0.22 \pm 0.27$,"$0.00, 0.99$",$0.78 \pm 0.26$,"$0.01, 0.99$",2_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.42 \pm 0.21$,"$0.10, 0.70$",$0.58 \pm 0.21$,"$0.30, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.64 \pm 0.17$,"$0.40, 0.90$",$0.36 \pm 0.17$,"$0.10, 0.60$",$0.64 \pm 0.17$,"$0.40, 0.90$",3_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.45 \pm 0.21$,"$0.10, 0.75$",$0.55 \pm 0.21$,"$0.25, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.64 \pm 0.16$,"$0.40, 0.90$",$0.36 \pm 0.16$,"$0.10, 0.60$",$0.64 \pm 0.16$,"$0.40, 0.90$",4_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.73 \pm 0.27$,"$0.00, 0.90$",$0.19 \pm 0.15$,"$0.00, 0.50$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.73 \pm 0.27$,"$0.00, 0.90$",$0.19 \pm 0.15$,"$0.00, 0.50$",$0.79 \pm 0.14$,"$0.50, 0.90$",5_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.54 \pm 0.26$,"$0.10, 0.99$",$0.46 \pm 0.26$,"$0.01, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.54 \pm 0.26$,"$0.10, 0.99$",$0.46 \pm 0.26$,"$0.01, 0.90$",$0.54 \pm 0.26$,"$0.10, 0.99$",6_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.73 \pm 0.14$,"$0.50, 0.90$",$0.27 \pm 0.14$,"$0.10, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.73 \pm 0.14$,"$0.50, 0.90$",$0.27 \pm 0.14$,"$0.10, 0.50$",$0.73 \pm 0.14$,"$0.50, 0.90$",7_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.25 \pm 0.15$,"$0.17, 0.50$",$0.42 \pm 0.15$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",8_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.34 \pm 0.17$,"$0.17, 0.50$",$0.33 \pm 0.17$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",9_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.36 \pm 0.17$,"$0.17, 0.50$",$0.30 \pm 0.17$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",10_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.46 \pm 0.14$,"$0.00, 0.50$",$0.16 \pm 0.05$,"$0.00, 0.20$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.46 \pm 0.14$,"$0.00, 0.50$",$0.16 \pm 0.05$,"$0.00, 0.20$",$0.27 \pm 0.07$,"$0.20, 0.50$",11_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",$0.17 \pm 0.00$,"$0.17, 0.17$",$0.25 \pm 0.00$,"$0.25, 0.25$",12_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
