agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision x1 mean,proposer last decision x1 min,proposer last decision x2 mean,proposer last decision x2 min,responder last response y1 mean,responder last response y1 min,responder last response y2 mean,responder last response y2 min,file name,task
$0.30 \pm 0.32$,"$0.00, 1.00$",$0.05 \pm 0.18$,"$-0.33, 0.33$",$0.50 \pm 0.52$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.32$,"$0.00, 1.00$",$0.07 \pm 0.20$,"$-0.33, 0.40$",$0.28 \pm 0.30$,"$0.00, 1.00$",$0.88 \pm 0.16$,"$0.50, 1.00$",$0.21 \pm 0.30$,"$0.00, 1.00$",$0.93 \pm 0.10$,"$0.80, 1.00$",74_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.49 \pm 0.42$,"$0.00, 1.00$",$-0.09 \pm 0.19$,"$-0.33, 0.33$",$0.33 \pm 0.49$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.49 \pm 0.42$,"$0.00, 1.00$",$-0.09 \pm 0.19$,"$-0.33, 0.33$",$0.47 \pm 0.36$,"$0.00, 1.00$",$0.88 \pm 0.17$,"$0.50, 1.00$",$0.28 \pm 0.31$,"$0.00, 1.00$",$0.91 \pm 0.15$,"$0.50, 1.00$",75_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.63 \pm 0.24$,"$0.33, 1.00$",$-0.06 \pm 0.21$,"$-0.33, 0.33$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.63 \pm 0.24$,"$0.33, 1.00$",$-0.06 \pm 0.21$,"$-0.33, 0.33$",$0.47 \pm 0.37$,"$0.00, 1.00$",$0.90 \pm 0.11$,"$0.70, 1.00$",$0.13 \pm 0.16$,"$0.00, 0.50$",$0.93 \pm 0.08$,"$0.80, 1.00$",76_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.28 \pm 0.26$,"$0.00, 0.67$",$0.03 \pm 0.07$,"$-0.10, 0.13$",$0.08 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.26 \pm 0.26$,"$0.00, 0.67$",$0.05 \pm 0.13$,"$-0.10, 0.40$",$0.18 \pm 0.06$,"$0.10, 0.30$",$0.87 \pm 0.05$,"$0.80, 0.90$",$0.19 \pm 0.14$,"$0.00, 0.50$",$0.87 \pm 0.07$,"$0.80, 1.00$",77_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.17 \pm 0.21$,"$0.00, 0.54$",$0.06 \pm 0.11$,"$-0.02, 0.33$",$0.17 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.16 \pm 0.21$,"$0.00, 0.54$",$0.07 \pm 0.14$,"$-0.02, 0.37$",$0.20 \pm 0.15$,"$0.00, 0.50$",$0.89 \pm 0.09$,"$0.80, 1.00$",$0.14 \pm 0.11$,"$0.00, 0.30$",$0.92 \pm 0.06$,"$0.80, 1.00$",78_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.43 \pm 0.06$,"$0.33, 0.54$",$0.11 \pm 0.11$,"$-0.02, 0.33$",$0.25 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.43 \pm 0.06$,"$0.33, 0.54$",$0.11 \pm 0.11$,"$-0.02, 0.33$",$0.13 \pm 0.09$,"$0.00, 0.30$",$0.88 \pm 0.07$,"$0.80, 1.00$",$0.14 \pm 0.11$,"$0.00, 0.30$",$0.89 \pm 0.08$,"$0.80, 1.00$",79_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.27 \pm 0.29$,"$0.00, 0.67$",$-0.00 \pm 0.06$,"$-0.17, 0.07$",$0.08 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.27 \pm 0.29$,"$0.00, 0.67$",$-0.00 \pm 0.06$,"$-0.17, 0.07$",$0.31 \pm 0.17$,"$0.20, 0.70$",$0.83 \pm 0.08$,"$0.70, 1.00$",$0.13 \pm 0.10$,"$0.00, 0.30$",$0.90 \pm 0.04$,"$0.80, 1.00$",80_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.22 \pm 0.28$,"$0.00, 0.67$",$0.01 \pm 0.03$,"$-0.02, 0.10$",$0.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.22 \pm 0.28$,"$0.00, 0.67$",$0.01 \pm 0.03$,"$-0.02, 0.10$",$0.21 \pm 0.15$,"$0.00, 0.60$",$0.87 \pm 0.07$,"$0.80, 1.00$",$0.27 \pm 0.16$,"$0.10, 0.60$",$0.88 \pm 0.06$,"$0.80, 1.00$",81_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.51 \pm 0.17$,"$0.33, 1.00$",$0.02 \pm 0.16$,"$-0.33, 0.33$",$0.17 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.51 \pm 0.17$,"$0.33, 1.00$",$0.02 \pm 0.16$,"$-0.33, 0.33$",$0.28 \pm 0.26$,"$0.00, 1.00$",$0.87 \pm 0.09$,"$0.70, 1.00$",$0.15 \pm 0.13$,"$0.00, 0.50$",$0.89 \pm 0.07$,"$0.80, 1.00$",82_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.40 \pm 0.23$,"$0.00, 0.80$",$0.01 \pm 0.21$,"$-0.17, 0.33$",$0.67 \pm 0.49$,$3.33 \pm 2.96$,"$1.00, 10.00$",$0.29 \pm 0.31$,"$-0.17, 0.80$",$0.12 \pm 0.26$,"$-0.17, 0.50$",$0.38 \pm 0.27$,"$0.00, 0.80$",$0.83 \pm 0.21$,"$0.50, 1.00$",$0.23 \pm 0.24$,"$0.00, 0.50$",$0.73 \pm 0.28$,"$0.40, 1.00$",83_task=signaling_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,signaling
