run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.006666666666666672,0.66,True,1,0.66,0.006666666666666672,1,0.49
2,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
3,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
4,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,1,0.49
5,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,1,0.4999
6,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
7,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
8,0.4666666666666666,0.19999999999999998,True,0,0.4666666666666666,0.19999999999999998,1,0.2
9,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
10,0,0,False,0,0,0,1,0.499
11,0,0,False,1,0,0,1,0.5
12,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
