run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,0,False,0,0,0,1,0.5
2,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
3,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
4,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,1,0.49
5,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
6,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
8,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
9,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
10,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,1,0.4999
11,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
12,6.666666666488297e-07,0.6666660000000001,True,1,0.6666660000000001,6.666666666488297e-07,1,0.499999
