run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
2,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
3,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
4,0,0,False,1,0,0,1,1
5,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
6,0.999999,1.0000000000287557e-06,True,0,0.999999,1.0000000000287557e-06,1,0.999999
7,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
8,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
9,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
10,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
11,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
12,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
