run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
2,0.6666660000000001,6.666666666488297e-07,True,0,0.6666660000000001,6.666666666488297e-07,1,0.499999
3,0.6666660000000001,6.666666666488297e-07,True,0,0.6666660000000001,6.666666666488297e-07,1,0.499999
4,0.6666660000000001,6.666666666488297e-07,True,0,0.6666660000000001,6.666666666488297e-07,1,0.499999
5,0,0,False,0,0,0,1,0.499
6,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
8,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
9,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
10,0.6666660000000001,6.666666666488297e-07,True,0,0.6666660000000001,6.666666666488297e-07,1,0.499999
11,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
12,0,0,False,0,0,0,1,0.5
