run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
2,0.5,0.5,True,1,0.5,0.5,3,0.5
3,0.3427,0.6573,True,0,0.3427,0.6573,1,0.3427
4,0.6579999999999999,0.342,True,1,0.342,0.6579999999999999,1,0.342
5,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
6,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
7,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
8,0.343,0.657,True,0,0.343,0.657,1,0.343
9,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
10,0.4737,0.5263,True,1,0.5263,0.4737,1,0.5263
11,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
12,0.657,0.343,True,1,0.343,0.657,1,0.343
