run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,4,0.0263
2,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
3,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,6,0
4,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
5,0.666,0.0006666666666666673,True,1,0.666,0.0006666666666666673,2,0.499
6,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,1,0.026
7,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
8,0.316,0.3506666666666667,True,0,0.3506666666666667,0.316,2,0.026
9,6.666666666488297e-07,0.6666660000000001,True,0,0.6666660000000001,6.666666666488297e-07,2,0.499999
10,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,3,0.0263
11,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
12,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,1,0.0263
