run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.34,0.6599999999999999,True,0,0.34,0.6599999999999999,1,0.34
2,0.525,0.475,True,0,0.525,0.475,1,0.525
3,0.4737,0.5263,True,1,0.5263,0.4737,1,0.5263
4,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
5,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
6,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
7,0.6599999999999999,0.34,True,1,0.34,0.6599999999999999,1,0.34
8,0.6572100000000001,0.34279,True,1,0.34279,0.6572100000000001,1,0.34279
9,0.343,0.657,True,0,0.343,0.657,1,0.343
10,0.6534,0.3466,True,1,0.3466,0.6534,1,0.3466
11,0.6599999999999999,0.34,True,1,0.34,0.6599999999999999,1,0.34
12,0.34,0.6599999999999999,True,0,0.34,0.6599999999999999,1,0.34
