run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,1,0.49
2,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
3,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
4,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
5,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
6,0.6666,6.666666666665932e-05,True,0,0.6666,6.666666666665932e-05,1,0.4999
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
8,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,1,0.49
9,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
10,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
11,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,1,0.49
12,0.6666,6.666666666665932e-05,True,0,0.6666,6.666666666665932e-05,1,0.4999
