run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.343,0.657,True,0,0.343,0.657,1,0.343
2,0.474,0.526,True,1,0.526,0.474,1,0.526
3,0.474,0.526,True,1,0.526,0.474,1,0.526
4,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
5,0.4737,0.5263,True,1,0.5263,0.4737,1,0.5263
6,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
7,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
8,0.657,0.343,True,1,0.343,0.657,1,0.343
9,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
10,0.6599999999999999,0.34,True,1,0.34,0.6599999999999999,1,0.34
11,0.526,0.474,True,0,0.526,0.474,1,0.526
12,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
