run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
2,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,1,0.026
3,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,1,0.026
4,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,1,0.026
5,0.31578666666666666,0.35088,True,0,0.35088,0.31578666666666666,4,0.02632
6,0.35000000000000003,0.31666666666666665,True,1,0.35000000000000003,0.31666666666666665,2,0.025
7,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
8,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,1,0.026
9,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,1,0.026
10,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
11,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
12,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
