run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
2,0.475,0.525,True,1,0.525,0.475,1,0.525
3,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
4,0.657,0.343,True,1,0.343,0.657,1,0.343
5,0.526,0.474,True,0,0.526,0.474,1,0.526
6,0.526,0.474,True,0,0.526,0.474,1,0.526
7,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
8,0.657,0.343,True,1,0.343,0.657,1,0.343
9,0.474,0.526,True,1,0.526,0.474,1,0.526
10,0.343,0.657,True,0,0.343,0.657,1,0.343
11,0.342800821,0.657199179,True,0,0.342800821,0.657199179,1,0.342800821
12,0,0,False,1,0,0,2,0.73022131
