run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
2,0.31666666666666665,0.35000000000000003,True,1,0.35000000000000003,0.31666666666666665,1,0.025
3,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,3,0.026
4,0,0,False,0,0,0,3,0.5
5,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
6,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,1,0.0263
7,0,0,False,0,0,0,1,0.5
8,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,1,0.0263
9,0.31666666666666665,0.35000000000000003,True,0,0.35000000000000003,0.31666666666666665,4,0.025
10,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,3,0.026
11,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,1,0.026
12,0,0,False,1,0,0,6,0.025
